no,name,tenure
1,伊藤博文,1885-1888 / 1892-1896 / 1898 / 1900-1901
2,黒田清隆,1888-1889
3,山県有朋,1889-1891 / 1898-1900
4,松方正義,1891-1892 / 1896-1898
5,大隈重信,1898 / 1914-1916
6,桂太郎,1901-1906 / 1908-1911 / 1912-1913
7,西園寺公望,1906-1908 / 1911-1912
8,山本権兵衛,1913-1914 / 1923-1924
9,寺内正毅,1916-1918
10,原敬,1918-1921
11,高橋是清,1921-1922
12,加藤友三郎,1922-1923
13,清浦奎吾,1924
14,加藤高明,1924-1926
15,若槻礼次郎,1926-1927 / 1931
16,田中義一,1927-1929
17,浜口雄幸,1929-1931
18,犬養毅,1931-1932
19,斎藤実,1932-1934
20,岡田啓介,1934-1936
21,広田弘毅,1936-1937
22,林銑十郎,1937
23,近衛文麿,1937-1939 / 1940-1941
24,平沼騏一郎,1939
25,阿部信行,1939-1940
26,米内光政,1940
27,東條英機,1941-1944
28,小磯国昭,1944-1945
29,鈴木貫太郎,1945
30,東久邇宮稔彦王,1945
31,幣原喜重郎,1945-1946
32,吉田茂,1946-1947 / 1948-1954
33,片山哲,1947-1948
34,芦田均,1948
35,鳩山一郎,1954-1956
36,石橋湛山,1956-1957
37,岸信介,1957-1960
38,池田勇人,1960-1964
39,佐藤栄作,1964-1972
40,田中角栄,1972-1974
41,三木武夫,1974-1976
42,福田赳夫,1976-1978
43,大平正芳,1978-1980
44,鈴木善幸,1980-1982
45,中曽根康弘,1982-1987
46,竹下登,1987-1989
47,宇野宗佑,1989
48,海部俊樹,1989-1991
49,宮澤喜一,1991-1993
50,細川護熙,1993-1994
51,羽田孜,1994
52,村山富市,1994-1996
53,橋本龍太郎,1996-1998
54,小渕恵三,1998-2000
55,森喜朗,2000-2001
56,小泉純一郎,2001-2006
57,安倍晋三,2006-2007 / 2012-2020
58,福田康夫,2007-2008
59,麻生太郎,2008-2009
60,鳩山由紀夫,2009-2010
61,菅直人,2010-2011
62,野田佳彦,2011-2012
63,菅義偉,2020-2021
64,岸田文雄,2021-2024
